"ShortName","Name","SI version","Target","Status","Runtime","Score","Severity","Weight","Category","MITRE ATT&CK_1","MITRE ATT&CK_2","MITRE ATT&CK_3","MITRE ATT&CK_4","ANSSI_1","ANSSI_2","ANSSI_3","MITRE D3FEND_1","MITRE D3FEND_2","Description","Likelihood of compromise","Result message","Number of results","Result","Remediation"
"SI000106","Inheritance enabled on AdminSDHolder object","1.124.1","AD","Pass","00:00:04:36","100","Critical","10","AD Delegation","Defense Evasion","Privilege Escalation","","","","","","","","This indicator checks for inheritance enabled on the access control list (ACL) of the AdminSDHolder object.","The AdminSDHolder object in Active Directory holds the permissions that will be applied to privileged groups and users, including Domain Admins. By default, permissions on privileged users are more restrictive to protect them from compromise. If an organization adjusts the permissions on the AdminSDHolder object, including enabling inheritance, they may weaken the security of these privileged users.
An attacker may discover these weaker permissions on privileged users and groups, and with a greater surface area, an attacker has a stronger chance of formulating attack paths to compromise users such as a Domain Admin, and then compromising Active Directory.ReferencesAdminSDHolder to improve Active Directory Security | Semperis","No evidence of exposure.","0","","None"
"SI000055","Permission changes on AdminSDHolder object","1.124.1","AD","IOE Found","00:00:04:28","0","Critical","10","AD Delegation","Defense Evasion","Privilege Escalation","","","vuln1_permissions_adminsdholder","vuln1_privileged_members_perm","","","","This indicator checks for inheritance modifications on the access control list (ACL) of the AdminSDHolder object.","The AdminSDHolder object in Active Directory holds the permissions that will be applied to privileged groups and users, including Domain Admins. By default, permissions on privileged users are more restrictive to protect them from compromise. If an organization adjusts the permissions on the AdminSDHolder object, they may weaken the security of these privileged users.
An attacker may discover these weaker permissions on privileged users and groups, and with a greater surface area, an attacker has a stronger chance of formulating attack paths to compromise users such as a Domain Admin, and then compromising Active Directory.ReferencesAdminSDHolder to improve Active Directory Security | Semperis","Found 1 domains with AdminSDHolder container permission changes in the last 6 months.","1","Security_Assessment_Report_5_30_2025_11_24_02_PM_(SI000055)","Check the permissions on the AdminSDHolder container and search for abnormal ACE \ owner."
"SI000082","Changes to AD Display Specifiers in the past 90 days","1.124.1","AD","Pass","00:00:04:77","100","Informational","3","AD Delegation","Execution","Defense Evasion","","","","","","","","This indicator looks for changes made in the past 90 days to the adminContextMenu attribute on AD display specifiers. This attribute controls the right-click menus presented to users in the domain using MMC tools such as AD Users and Computers. Modifying these attributes can potentially allow attackers to get users to run arbitrary code if those menu options are clicked.","Attackers may utilize context menus as a stealthy way of getting various users in a domain to execute code. Modifying this attribute requires special permissions granted by default only to Domain Admins and Enterprise Admins and also requires the user to click on the illicit context menu item. See the this blog post for additional information. (see this writeup for additional information).","No evidence of exposure.","0","","None"
"SI000047","Changes to default security descriptor schema in the last 90 days","1.124.1","AD","Pass","00:00:04:95","100","Warning","7","AD Delegation","Defense Evasion","Privilege Escalation","","","","","","Detect - Domain Account Monitoring","","This indicator detects changes made to the default security descriptor schema in the last 90 days. If an attacker gets access to the schema instance in a given forest, they can make changes to the defaultSecurityDescriptor attribute on any AD object class. These changes would then propagate as new default Access Control Lists (ACLs) on any newly created object in AD, potentially weakening AD security posture.","Changes to the default security descriptor are not common. An admin should know that the change was made and be able to articulate the reason for the change. If the change was not intentional, the likelihood of compromise is very high. The chances of compromise are lower if the change hardens the setting instead of weakening it.","No evidence of exposure.","0","","None"
"SI000050","Domain Controller owner is not an administrator","1.124.1","AD","Pass","00:00:11:86","100","Warning","6","AD Delegation","Credential Access","Privilege Escalation","","","vuln1_permissions_dc","","","Harden - System Configuration Permissions","","This indicator looks for Domain Controller computer accounts whose owner is not a Domain Admins, Enterprise Admins, or built-in Administrator account.","Control of DC machine accounts allows for an easy path to compromising the domain. While Domain Controller objects are typically created during DCPromo by privileged accounts, if an accidental ownership change occurs on a DC object, it can have large consequences for security of the domain, since object owners can change permissions on the object to perform any number of actions.","No evidence of exposure.","0","","None"
"SI000092","Non-default access to DPAPI key","1.124.1","AD","Pass","00:00:12:14","100","Warning","7","AD Delegation","Credential Access","","","","vuln1_permissions_dpapi","","","Harden - User Account Permissions","","This indicator uses API calls to check whether each DC has non-default principals permitted to retrieve the domain DPAPI backup key (using LsaRetrievePrivateData).","An attacker could recover all domain data encrypted via DPAPI, if they gain access to such data.","No evidence of exposure.","0","","None"
"SI000056","Enterprise Key Admins with full access to domain","1.124.1","AD","Pass","00:00:12:10","100","Warning","7","AD Delegation","Credential Access","Lateral Movement","Privilege Escalation","","vuln2_adupdate_bad","","","Harden - User Account Permissions","","This indicator looks for evidence of a bug in certain versions of Windows Server 2016 Adprep that granted undue access to the Enterprise Key Admins group.","This issue was corrected in a subsequent release of Server 2016 and may not exist in your environment, but checking for it is definitely warranted, since it grants this group the ability to replicate all changes from AD (DCSync Attack).","No evidence of exposure.","0","","None"
"SI000124","Foreign Security Principals in Privileged Group","1.124.1","AD","Pass","00:00:12:78","100","Warning","5","AD Delegation","Defense Evasion","Persistence","","","","","","Detect - Domain Account Monitoring","","This indicator looks for members of privileged groups which are Foreign Security Principals. Special care should be taken when including accounts from other domains as members of privileged groups.","While not immediately indicative of an attack, privileged users that are not clearly marked as such (adminCount =1) represent an exposure in that they may be used nefariously without being detected. Since Foreign Security Principals do not have the adminCount attribute, they could miss being detected by some security auditing tools. Additionally, an attacker may add a privileged account and attempt to hide it using this method.","No evidence of exposure.","0","","None"
"SI000084","gMSA not in use","1.124.1","AD","IOE Found","00:00:12:77","94","Informational","4","AD Delegation","Credential Access","","","","","","","","","This indicator checks if there are enabled group Managed Service Account (gMSA) objects in the domain. For more information on gMSA see the Microsoft article: here.","The group Managed Service Account (gMSA) feature in Windows Server 2016 allows automatic rotation of passwords for service accounts, making them much more difficult for attackers to compromise. The feature should be used whenever possible for service accounts.","Found 1 domains with no gMSA objects enabled.","1","Security_Assessment_Report_5_30_2025_11_24_02_PM_(SI000084)","Group Managed Service Accounts should be used to protect service accounts. See description for more information."
"SI000083","Non-privileged users with access to gMSA passwords","1.124.1","AD","Pass","00:00:15:72","100","Warning","6","AD Delegation","Credential Access","","","","","","","","","This indicator looks for principals listed within MSDS-groupMSAmembership that are not in the built-in admin groups.","An attacker that controls access to the gMSA account can retrieve passwords for resources managed with gMSA.","No evidence of exposure.","0","","None"
